Seismic Zone,PGA (m/s²),PGV (m/s),PGD (m),Spectral Acceleration (g),Soil Type,Site Amplification Factor,Historical Earthquake Magnitude (Mw),Fault Distance (km),Seismic Wave Frequency (Hz),Building Height (m),Number of Stories,Structural Material,Foundation Type,Natural Frequency (Hz),Damping Ratio (%),Mass of Structure (kg),Axial Stiffness (kN/m),Bending Stiffness (kN·m²),Lateral Load Resisting System,Predicted Max Inter-Story Drift Ratio (%),Predicted Max Roof Displacement (m),Predicted Base Shear Force (kN),Predicted Structural Acceleration (m/s²),Predicted Damage Index (0–1 Scale),Predicted Collapse Probability (%)
High,0.274115759,1.865374963,0.070487781,0.951053205,Clay,1.619845686,7.862510903,32.24970907,2.92669821,93.90360772,9,Composite,Pile,2.975876621,3.209516299,853499.0434,5691.435085,22893.95795,Moment Frame,3.355937118,0.468990464,4337.16595,1.844979328,0.394208155,39.42081549
Very High,0.679099745,0.835912784,0.006346934,1.650034691,Rock,1.5737616,5.902664947,9.607016509,3.050620976,18.88530992,30,Steel,Raft,3.562946328,6.864210352,358037.4009,3746.172602,43340.70028,Braced Frame,2.461872975,0.179628193,1821.090343,1.524597719,0.032954175,3.295417511
Low,0.790010418,0.225713859,0.272584411,0.349244747,Sand,1.995665743,5.878076604,23.07205085,3.892704193,160.7440373,20,Composite,Raft,3.342233724,8.490355936,613575.8355,3131.400966,35483.9219,Braced Frame,1.826177295,0.634396283,2498.437622,1.707731949,0.708806298,70.8806298
Very High,0.666005646,0.136395423,0.48791363,1.198077418,Sand,0.960019776,8.270286214,19.61779808,8.372150029,52.44387596,21,Concrete,Pile,0.435480164,5.133866546,562014.0134,3689.210713,2122.592935,Moment Frame,2.505532961,1.319116005,364.4408177,2.251110866,0.956166784,95.61667845
Very High,0.84331275,1.671031266,0.185198961,0.495894548,Clay,2.538289022,4.82560766,43.37391589,9.675410747,146.455364,29,Steel,Pile,0.697298574,7.115565924,679901.1705,6569.338686,15425.10441,Shear Wall,1.032725919,0.743354984,1414.183452,4.4444044,0.62498665,62.49866503
Very High,0.933184345,1.096997712,0.179238975,0.366492729,Soft Soil,1.279117764,8.464973168,66.17009456,4.442688275,18.32793243,25,Concrete,Raft,0.817216702,6.866968815,753441.4184,2311.802097,28341.62343,Shear Wall,1.807270974,1.102861313,3399.997995,3.696879811,0.188414479,18.84144785
High,0.11389335,1.572963698,0.172701717,1.261830006,Rock,2.289483193,5.654977605,27.11680142,3.994193104,191.2442185,38,Composite,Pile,0.638789008,1.347990057,468837.0427,9172.176761,46382.52816,Braced Frame,3.617859572,1.491166882,3694.5007,3.372621499,0.248242532,24.82425322
Moderate,0.749733223,0.54540864,0.260751375,1.109263854,Clay,2.567066671,7.168431365,2.194923595,8.480852681,42.63792215,44,Masonry,Deep,1.055525232,2.650746657,893895.281,4928.087987,5999.464837,Shear Wall,1.165372559,0.822872277,1251.968182,2.409175033,0.909750719,90.97507186
Low,1.448898937,0.755659116,0.220891777,1.383206679,Rock,2.036129304,8.711973806,52.37479906,4.326362674,177.1347049,25,Masonry,Deep,3.504741398,9.041770016,819023.5005,3592.979915,30456.96435,Moment Frame,1.393928965,1.999392714,2543.909489,0.108966741,0.013562096,1.35620956
Moderate,0.826645192,0.157197357,0.440077399,0.62608638,Sand,2.429943055,7.551551257,60.97018945,5.564979906,162.8472759,9,Steel,Deep,4.188018806,9.450029326,796150.038,7772.54765,15806.65984,Moment Frame,3.771708453,0.602919028,4096.778971,1.768698486,0.548746665,54.87466655
Very High,1.048559174,1.926835417,0.253254875,0.861551816,Sand,2.256092687,6.364934156,96.32417891,2.38632248,193.7326852,39,Concrete,Raft,2.162306672,8.023956759,485334.4998,655.2933197,44577.06132,Braced Frame,0.971396086,1.95671422,1930.555296,4.084640996,0.158677645,15.86776452
Very High,0.536609401,1.368949023,0.254371161,0.78930185,Soft Soil,1.582165554,7.60290394,59.35760951,7.460675104,98.18867888,44,Concrete,Pile,3.525351231,9.291233335,85694.24155,4602.602225,38493.31087,Moment Frame,1.304849174,0.414029034,712.1677734,2.002037457,0.282764435,28.27644352
Moderate,1.183587929,1.873089667,0.070047426,1.772952089,Sand,2.579488786,6.047908363,47.64608338,5.366684351,146.8424723,26,Steel,Pile,1.160078054,3.755337858,517643.5861,3875.38421,19115.43338,Moment Frame,0.185983058,0.230754169,2187.758429,2.862713713,0.306981649,30.69816495
Moderate,1.182090075,0.604443174,0.491387031,0.596823226,Sand,1.448343014,5.747662874,57.76676096,8.109442047,77.28857812,37,Masonry,Shallow,4.871744728,3.229398746,903523.2574,3712.994145,9188.055032,Braced Frame,3.628252838,1.504152944,3023.111894,1.1032251,0.219282748,21.92827477
Moderate,0.829814467,1.261780861,0.125736473,0.601189305,Clay,2.056668419,8.985074751,92.86216236,7.829254027,40.95180641,16,Composite,Shallow,1.87998811,4.458701688,230927.6478,3702.17794,1563.400647,Moment Frame,3.127727471,1.407596217,86.62271455,4.587702935,0.792352063,79.23520627
Very High,1.466419353,1.38914994,0.03760867,0.702731955,Rock,2.439875026,7.87855604,83.00943641,2.228547206,91.39980692,37,Steel,Pile,4.26016115,1.498077987,983462.8484,797.0780886,31435.58808,Moment Frame,3.502488717,1.624227001,1775.409158,4.623535135,0.332209174,33.2209174
Very High,0.275770301,0.70334443,0.331909978,1.059809938,Rock,1.633703002,7.401239898,32.9748946,7.184791951,37.321058,12,Composite,Pile,4.737758589,8.288844571,817306.089,1945.105829,20900.06657,Moment Frame,1.150206034,0.693744939,3056.807313,0.815744881,0.345484991,34.54849913
Low,0.123726731,1.711407547,0.298087819,0.528948665,Clay,1.466088737,6.098803394,24.488182,8.020538639,196.4987014,24,Masonry,Pile,4.350627022,9.857579366,724338.3027,1847.909013,16423.06815,Shear Wall,3.468144315,1.862307231,4761.964153,3.648378851,0.453006814,45.30068137
Low,1.178221496,1.89960678,0.208157681,1.655992899,Soft Soil,1.810561222,4.721223731,27.00072762,3.526461684,23.76806577,26,Concrete,Raft,0.521924727,8.416263632,693301.96,9891.799796,49289.61229,Braced Frame,3.022245427,0.247768042,2072.316226,0.468668688,0.902295289,90.22952887
Very High,1.230017752,1.781224724,0.211673925,0.55166546,Rock,2.599519688,4.639755942,50.93768293,1.808830218,119.8962861,20,Masonry,Pile,3.321474355,5.994778014,607674.5878,710.574681,23840.96464,Braced Frame,1.894002598,0.070251432,856.7127141,3.032883328,0.688173032,68.8173032
Moderate,0.268290121,1.504227254,0.392746897,1.622886744,Sand,2.845827879,6.99381565,74.66089567,0.12605834,127.1604518,9,Steel,Shallow,0.776435392,3.657537734,734636.8071,2087.199735,37742.1249,Braced Frame,2.245346477,0.608122131,2694.384535,0.975402889,0.061749704,6.174970417
Moderate,0.471815966,0.627182891,0.098660607,0.275907608,Rock,1.999183508,7.929147245,50.81870151,4.563946166,109.9255109,23,Concrete,Raft,0.227182403,2.779280997,450810.2784,9754.657832,9693.208445,Shear Wall,2.882810466,1.596675682,1464.474187,0.813955737,0.039261921,3.926192104
Low,0.124573309,0.63507048,0.410306406,1.216156594,Sand,2.255225652,6.918206357,7.711843187,3.589084042,134.1262477,39,Steel,Pile,0.448560531,4.276565846,853023.7026,6468.437641,1659.307629,Shear Wall,2.517131663,1.349234791,1113.158027,0.120187105,0.56638923,56.63892296
Very High,0.510632055,1.930384609,0.32472481,1.641875381,Soft Soil,2.787201969,8.283532824,72.63448934,5.593607355,27.65525113,29,Steel,Shallow,4.597516143,7.002725766,711528.6583,4781.337646,21460.56835,Braced Frame,3.244957523,0.878055441,2972.496132,4.710199971,0.887060562,88.70605617
Low,1.182398623,0.119540542,0.210065917,0.386874045,Clay,1.016803073,4.650419399,80.79104274,1.961606817,113.2286122,31,Masonry,Raft,4.560624868,5.023554,782690.4568,1248.228864,33617.57691,Shear Wall,0.98679993,0.519944692,4583.623495,4.163337208,0.323251476,32.3251476
Low,0.825144739,1.460494949,0.22955628,1.746155832,Rock,1.310572871,6.150384344,29.66028865,8.610688922,61.00645137,19,Steel,Pile,1.283957061,9.406538381,802863.0511,6861.781036,25823.33611,Braced Frame,2.749478779,0.127952846,4184.359811,0.479630231,0.247771829,24.77718289
High,0.58733383,1.441867709,0.129066956,0.869901713,Clay,2.359580014,5.56681676,66.74844819,2.651776635,188.3343323,20,Masonry,Pile,2.825893831,8.687983087,137466.5434,1809.128383,44632.84662,Shear Wall,2.306369466,0.681636101,952.3480674,3.036940489,0.748191045,74.81910453
High,0.620435013,1.283110128,0.376305052,1.707715684,Rock,2.612237816,6.512728357,43.2325982,2.34165309,153.6039724,23,Concrete,Pile,4.784135659,1.921605544,102858.7341,6876.268161,22264.98821,Moment Frame,2.359000421,0.925439338,3841.103319,1.241201351,0.602091366,60.20913665
High,0.101895076,1.981206808,0.256924496,1.250594074,Sand,2.685463862,4.825693769,89.02281622,4.859069159,194.640324,43,Masonry,Raft,2.584189423,2.183727015,810936.5751,9802.176723,16239.13784,Moment Frame,2.399972048,1.377177438,1187.84974,1.393677822,0.565027342,56.50273424
Moderate,0.519720739,0.692570928,0.161106417,0.612697679,Clay,1.713235789,8.793592387,84.67733026,5.038625135,12.3234336,27,Concrete,Shallow,2.089173537,7.086152668,296414.82,5553.740257,45886.38513,Braced Frame,4.419212623,1.29548419,1488.97124,4.383434576,0.149301199,14.93011991
Very High,1.005042238,0.745946541,0.298429008,0.420114292,Rock,0.996547785,5.504649305,53.01776783,2.229343765,60.60096916,30,Masonry,Shallow,2.519593731,3.07691551,602871.3171,2533.804218,20933.31165,Shear Wall,4.111274462,1.895216357,4604.254959,0.660196153,0.175961319,17.59613187
Very High,1.463872221,0.249984866,0.497871492,0.616349579,Sand,1.76311925,8.65038499,69.45904904,2.791421195,43.10740439,21,Composite,Deep,3.993035655,8.119268893,471525.3125,6440.195633,14212.74522,Shear Wall,3.18489281,0.209787879,4559.698246,3.047301665,0.281787776,28.17877759
Very High,1.285885158,0.941316459,0.218195878,0.258129596,Clay,1.307616098,6.416519198,88.4516204,1.780081868,7.175144526,44,Composite,Pile,2.490932636,6.322223281,70937.24348,5372.832034,5785.392764,Moment Frame,3.610785984,0.679316845,884.7222845,2.066152121,0.206838935,20.68389347
Very High,0.133032951,0.5959922,0.460425009,0.344575543,Clay,1.440632201,8.9348586,50.075984,7.212755765,52.2535174,35,Steel,Deep,3.95973287,3.06847475,88267.19526,5564.832504,39872.17889,Moment Frame,0.309732917,0.968340383,367.7496868,1.034922938,0.971444745,97.1444745
High,1.357984847,0.752434734,0.173163403,0.277922749,Rock,2.498988625,6.993262726,32.01182331,7.723881409,137.3613168,49,Masonry,Deep,2.272147739,5.308181177,835768.9802,5042.015988,41429.48158,Shear Wall,3.745559425,1.34468463,1500.934611,2.314398569,0.018611016,1.861101636
Moderate,1.196477779,1.685686401,0.028311621,0.819004024,Rock,0.966159589,8.688747889,75.61294765,4.677052125,50.06233982,7,Masonry,Shallow,1.409627222,4.654686631,627293.6834,6900.535455,2631.591395,Shear Wall,2.482206973,0.995948866,2929.786546,4.708397507,0.626056338,62.60563384
Moderate,1.192526573,1.877420576,0.102916811,1.45248324,Rock,2.620678678,4.524070449,22.78655922,7.169461525,104.2556719,22,Concrete,Raft,1.767069103,8.858434233,547650.9248,5933.480943,18573.63432,Shear Wall,1.656963066,1.826388882,4390.613805,3.929889241,0.517598825,51.75988249
High,0.741194063,0.452892837,0.209928877,0.340352042,Sand,1.740871989,7.867074628,39.46458365,7.38576038,178.1245324,10,Steel,Raft,0.57355263,1.289462275,947134.4793,9876.453236,37743.94628,Shear Wall,0.784907133,1.221257968,638.2450751,0.747345867,0.323251236,32.32512359
Moderate,0.65720741,0.80776697,0.110597829,0.321544736,Rock,2.111340648,8.563727939,86.70699647,1.468927724,140.2827945,23,Masonry,Shallow,2.587429493,9.062595014,214459.2746,8345.7025,47372.71053,Shear Wall,0.468523073,0.088934165,2104.044586,4.262205725,0.887588712,88.75887121
High,0.52408202,1.864398068,0.001113292,1.193829214,Clay,0.997234909,5.128742551,72.71781169,9.665162446,81.95266863,15,Steel,Raft,0.910932439,6.868744146,295072.2977,3014.634588,19513.09591,Shear Wall,0.319939859,0.236175378,1395.161444,4.693458592,0.670162578,67.01625775
Very High,0.191972803,0.217436075,0.457585767,0.435211069,Clay,1.542189972,4.932566333,40.97728952,8.228216276,77.63144309,30,Composite,Deep,4.09542563,7.637843688,768902.1243,7394.686958,43730.61814,Braced Frame,0.892801257,1.509456167,123.8983878,1.457124976,0.998354351,99.83543513
High,0.419529509,0.275485003,0.422095826,0.265937065,Rock,0.997342022,6.410576732,22.25970574,2.124386266,93.86848373,34,Masonry,Pile,2.218834756,1.023467171,786473.4666,2535.853319,20292.29992,Shear Wall,0.247704595,1.434417516,3952.808991,1.733756508,0.168655959,16.86559593
Very High,0.445245089,0.409302879,0.371403824,0.383642583,Rock,2.91539619,8.701555078,36.24087069,1.943033854,39.52308101,13,Masonry,Shallow,3.872011155,6.654154906,434652.3366,7932.290877,9795.236735,Moment Frame,3.689946988,0.315459034,4075.756855,0.71891864,0.087867836,8.786783587
Very High,0.777707898,1.230904385,0.084739483,1.670343373,Soft Soil,2.575975629,6.940739521,29.12631077,1.344045341,128.6301496,4,Steel,Pile,4.781410052,6.296375473,953429.5129,1901.79758,1168.861045,Braced Frame,1.318209183,0.127228236,1145.083856,1.790206512,0.139397267,13.93972675
Low,1.146422169,0.385897315,0.061061425,1.49650113,Clay,1.81119206,6.873554087,18.43283951,1.469947769,76.00979973,18,Masonry,Raft,4.277494159,5.834850007,941341.8488,4998.761419,17178.87013,Shear Wall,1.906828092,1.161648532,798.6392377,3.398389906,0.269290968,26.92909676
High,0.76333376,1.939345125,0.03473477,0.701909756,Sand,1.291925606,5.135067532,74.58995844,7.50680181,171.2112431,23,Steel,Pile,4.767025663,8.07280171,61789.22931,8010.758884,19545.27749,Moment Frame,4.131309448,1.275120276,765.5762254,1.433559574,0.416786992,41.67869916
Low,0.180982229,0.948757602,0.362290565,1.214895304,Soft Soil,2.853601232,4.5035528,25.9549188,4.749577144,152.5277687,33,Masonry,Raft,2.926095329,6.002839868,213711.5072,3161.070672,47310.75892,Braced Frame,0.661821733,0.279246279,2346.538589,0.133442553,0.862603285,86.2603285
High,1.440905721,1.052884125,0.464475172,1.013368645,Rock,1.558112511,8.145630408,45.96257955,7.85104831,124.050067,34,Concrete,Raft,0.993557283,8.713874706,829208.4696,8452.631689,11097.44237,Moment Frame,4.194410748,0.952502449,1270.153158,1.758868773,0.283591766,28.35917663
High,1.419814047,0.56865137,0.215837375,1.251111248,Rock,1.15416575,4.894085533,39.20008524,7.487923454,76.01943342,34,Steel,Deep,4.68990058,3.093683378,368455.8506,6619.431736,19729.30469,Shear Wall,3.233747718,0.618604743,2581.21043,2.320552742,0.91524331,91.524331
Low,1.19926536,0.99482448,0.060451195,1.260540959,Clay,2.038961655,7.352324184,98.22566048,6.085665864,45.93670718,36,Masonry,Raft,4.368821075,8.253843301,140689.5448,4276.462127,2232.552361,Shear Wall,1.775944622,1.863298235,1955.016099,2.875144583,0.462907688,46.29076884
Low,1.487859062,1.357635902,0.256684018,1.168847826,Rock,2.876303065,8.615774045,39.71813217,6.895029405,156.3496135,35,Composite,Deep,4.349182357,2.613814955,795749.2157,4522.458738,38413.44702,Shear Wall,0.677255344,0.446207609,1093.907009,3.450743011,0.647070019,64.70700185
High,0.862275266,1.52723656,0.175067122,0.552372327,Sand,0.808426639,5.438933609,8.918265797,0.281721671,99.8497743,17,Masonry,Deep,3.527717252,8.318060128,481854.3303,9296.919572,45841.92058,Shear Wall,0.548314217,1.469188845,3768.399358,0.402743287,0.264407714,26.44077141
Moderate,1.44787569,1.532349357,0.188037637,0.166310915,Clay,1.323874655,7.493727763,9.892749505,3.186598703,48.82625744,28,Composite,Deep,3.199598058,9.464171669,517790.2474,2569.0145,12653.21172,Braced Frame,1.744020296,1.041086488,794.3012572,2.401784532,0.156013816,15.6013816
Very High,0.205847057,1.197993114,0.311043981,0.874463529,Rock,2.864584809,4.854143595,59.48461841,6.414439575,43.05904993,14,Composite,Shallow,0.270674681,4.021247281,227050.9194,7086.944844,22020.76042,Braced Frame,0.787675666,0.032926814,4004.566458,1.405176067,0.869456941,86.94569407
Low,0.611953048,1.818283572,0.359640339,1.614655604,Clay,1.176389127,7.216898147,60.33699162,0.19251504,37.25317638,34,Concrete,Shallow,3.790659532,5.768976826,677850.3012,7219.294955,6983.518447,Moment Frame,1.411780453,1.038827181,2829.159599,4.745050871,0.109506181,10.95061805
Very High,0.415533775,1.65307491,0.056191196,1.068145339,Rock,1.049135594,5.237692744,42.45714006,0.426471742,156.5464333,48,Steel,Raft,0.639368564,6.924961206,573679.2522,9263.272085,23384.93609,Shear Wall,0.359483422,0.207949578,4168.583856,1.863502698,0.774021306,77.40213058
Moderate,0.374166318,1.538391418,0.018759525,1.515064771,Rock,2.054411875,7.811791022,43.75252554,8.533691026,49.65250113,11,Masonry,Deep,1.446804493,1.715244993,246339.2909,7275.060553,7533.780719,Moment Frame,3.015541266,1.32153377,73.55724835,0.590606124,0.580984306,58.09843061
Moderate,0.297124128,0.205650491,0.497170821,1.785761383,Rock,2.696056411,5.855540827,6.339325701,6.871846131,107.6952414,13,Concrete,Shallow,2.847153418,5.446726464,373314.933,6052.440472,26644.07623,Braced Frame,0.811852973,1.135391825,3758.483169,0.303308305,0.861137782,86.11377817
Moderate,0.971379098,0.113068128,0.117131446,0.378147547,Sand,1.849641599,6.58525954,52.13810453,2.727160358,93.05154039,33,Masonry,Deep,2.368316407,4.245264789,617035.323,9073.964121,36996.47998,Shear Wall,3.807988334,0.030750182,305.0021866,1.400488849,0.717818412,71.78184121
Low,1.193850598,0.503649827,0.027861432,1.276021987,Sand,2.988041365,7.197437439,50.96920806,6.910832117,118.0241253,2,Composite,Pile,0.275717071,8.852100681,928628.6427,8376.754282,28113.79597,Shear Wall,1.169057384,0.417338731,4752.988659,0.976505821,0.281664102,28.16641021
Moderate,0.909617759,1.360694828,0.095747789,1.246299075,Clay,2.294177739,5.270730348,15.80538254,7.945321024,176.0452056,34,Steel,Pile,4.155128281,8.890115668,924357.5328,7309.376321,13015.75934,Braced Frame,4.010085239,1.554687855,3528.560468,3.284018172,0.574427597,57.44275973
Low,0.305747793,0.881275229,0.020439965,1.765924261,Rock,0.962964796,7.837370184,11.28009922,3.137263403,174.2107411,29,Masonry,Pile,4.418244599,7.307015856,323510.6092,809.4946327,18336.00329,Braced Frame,1.030421733,0.558787502,1634.852839,4.250136054,0.01307362,1.307361961
Moderate,1.235573278,0.864571893,0.196513636,1.775521248,Rock,2.98423069,5.861881533,13.23367657,0.456770037,92.95983401,37,Masonry,Raft,3.472990129,6.901520271,748839.9289,4048.443973,32290.06415,Braced Frame,3.634696162,1.003573968,1633.25994,1.631537647,0.475218342,47.52183424
Very High,0.99033659,1.780715088,0.40139849,1.26735364,Sand,1.697367321,7.48067337,11.0017964,9.334513334,7.996418893,4,Composite,Deep,2.797125722,7.603196133,786743.1265,6502.951886,29898.01547,Braced Frame,1.73206593,0.630877243,4314.38728,2.931178129,0.086013636,8.601363557
Very High,0.643431989,1.801569411,0.17128098,0.514145146,Rock,1.432285574,5.212273728,61.36111136,3.517280399,88.15654211,12,Masonry,Pile,4.811541627,4.293882109,818381.945,5461.379981,7701.964618,Braced Frame,2.957287975,1.843838444,4519.058636,3.678495857,0.428944998,42.89449978
High,1.043782414,1.827433002,0.22264752,1.457544925,Sand,2.027334204,7.596529466,20.45178259,1.154169457,123.2077398,26,Masonry,Shallow,0.775789797,4.640673221,592224.1705,3533.524102,42402.5242,Shear Wall,0.28944289,1.077788265,4463.287741,2.052589677,0.109611808,10.9611808
Very High,0.463866971,0.696368345,0.3381178,0.281949528,Rock,1.469476702,5.076846328,25.89158507,4.969383027,113.764128,28,Composite,Pile,3.741968258,5.983342506,59982.59819,1872.027197,24284.2567,Braced Frame,2.526697728,1.395385295,4053.264448,0.424995496,0.955479807,95.54798069
High,0.583269092,1.413006044,0.254938141,1.427188817,Clay,0.990206516,6.414104233,18.18364227,7.707831177,132.0105406,3,Concrete,Pile,0.816130942,9.442253146,773592.4712,5753.467536,8956.092002,Shear Wall,0.828570684,0.176117448,4104.208503,1.223006064,0.523067957,52.30679574
Very High,1.38448018,0.616103044,0.430861397,1.647333411,Rock,0.803142355,5.612427332,95.82569514,2.294308415,35.04476783,20,Composite,Pile,2.032855035,7.515998867,151267.5773,3216.216971,7018.500586,Shear Wall,2.482969114,0.090268615,2885.201119,4.42702246,0.913217985,91.32179853
Low,0.506706308,0.462158683,0.433151802,0.750816771,Rock,1.789083376,7.867688622,85.60712885,2.767951496,131.0743443,10,Concrete,Raft,3.010325644,5.9589032,161027.8169,2713.504653,48312.03696,Braced Frame,0.792659741,0.525864108,189.7437121,4.139953305,0.022366223,2.236622297
Very High,0.757983575,0.450801669,0.005945437,1.172080001,Soft Soil,2.641099529,5.67915752,23.8189889,2.502878369,40.61706566,18,Steel,Shallow,3.738020914,7.933717134,625343.5625,4290.103157,14795.22045,Braced Frame,2.241736689,0.625177242,479.5277462,0.524009391,0.637653284,63.76532839
High,1.346197592,0.75000448,0.389245107,0.831242645,Sand,2.059093408,8.467727879,33.4290631,9.917563223,151.3521762,27,Concrete,Deep,0.217837281,4.33801281,984344.495,7962.168616,45521.08581,Shear Wall,0.642042019,1.378484277,3265.288585,1.197348744,0.306954502,30.69545019
High,1.09080989,0.916919478,0.230906067,0.844200593,Rock,2.998256058,8.513190951,21.77939139,2.054296964,71.12208459,31,Concrete,Shallow,1.450869855,7.57420031,280412.4996,5134.608272,21118.67964,Braced Frame,1.177762437,1.1425697,2035.767544,3.868909882,0.431828996,43.1828996
Moderate,0.187084517,1.678803425,0.49443143,0.627630511,Rock,1.43106262,5.383985919,49.69571999,5.797650148,143.4296095,27,Steel,Deep,2.783361879,4.696086235,663520.336,2556.676,19910.15009,Braced Frame,3.015886784,0.755413418,2858.182673,2.480901337,0.873087395,87.30873952
Low,0.306224262,0.327793078,0.242132806,1.395620355,Soft Soil,1.417001142,7.262306753,2.941442715,9.260119952,14.33379179,42,Concrete,Raft,2.75779366,3.516952663,338470.9635,1610.579852,35345.51951,Braced Frame,4.885637122,1.311693794,1193.834232,3.823838455,0.980021095,98.00210948
Very High,0.110978227,1.49635911,0.493461077,1.691500159,Soft Soil,1.151448813,4.894729388,67.46543288,1.554276032,84.53270499,1,Composite,Raft,3.260606888,6.487516428,903789.8079,5240.379006,1484.281101,Moment Frame,2.301005365,0.335495837,3264.61501,1.134353111,0.246491954,24.64919544
Moderate,0.983290506,1.109764337,0.377530111,1.699276461,Sand,1.160939894,6.261916948,52.79265683,9.711456559,142.4817318,6,Concrete,Raft,1.658497188,7.181898037,613841.0475,8046.480785,17566.38656,Shear Wall,3.467151094,0.136344493,1252.006244,4.768220882,0.948253285,94.82532854
Very High,0.726742796,0.647096151,0.125053837,0.397128184,Soft Soil,1.427410511,7.709947783,89.9652539,9.480024621,49.23975068,11,Steel,Raft,2.794540405,5.133642051,247103.4613,6701.771225,15829.6399,Moment Frame,2.743180888,1.710465134,2331.02335,3.939676499,0.688726949,68.87269489
Very High,0.287984791,1.036357211,0.269659095,1.587064204,Clay,2.5442481,7.467404611,17.27487575,8.857262672,160.0809737,34,Composite,Deep,1.110976532,6.089506582,299024.4979,2705.414361,43536.80662,Braced Frame,2.541953878,1.132252795,2419.663503,1.067516392,0.951413914,95.14139144
